id;value
Santa Cruz;240150
Santa Cruz;240170
Santa Cruz;240210
Santa Cruz;240280
Santa Cruz;240500
Santa Cruz;240530
Santa Cruz;240540
Santa Cruz;240640
Santa Cruz;240680
Santa Cruz;240933
Santa Cruz;241030
Santa Cruz;241110
Santa Cruz;241120
Santa Cruz;241170
Santa Cruz;241230
Santa Cruz;241260
Santa Cruz;241270
Santa Cruz;241290
Santa Cruz;241310
Santa Cruz;241370
Santa Cruz;241400
Pau dos Ferros;240040
Pau dos Ferros;240050
Pau dos Ferros;240060
Pau dos Ferros;240090
Pau dos Ferros;240290
Pau dos Ferros;240320
Pau dos Ferros;240330
